name,price,status,shipping,free_returns,items_sold
Nike Air Jordan 1 Mid Gym Red Banned Bred 554724 554725 074 GS & Men's Szs,11499,Brand New,0,False,0
Nike Kyrie 6 Blue/White Basketball Shoes (Men's Sizes 9.5-13) | CW4142-402,10000,New (Other),0,True,0
Nike Air Max 90 Shoes Size 10 Mens Gray/White/Orange Red 875943-100,500,Pre-Owned,800,False,
Nike Men's Giannis Immortality EP White Basketball Shoes DH4528-100,999,Brand New,795,False,0
Nike Air Force 1 '07 Shoes Black University Red DC2911-001 Men's Multi Size NEW,4690,Brand New,10,False,0
NIKE MEN'S  CORTEZ BASIC LEATHER WHITE / BLACK  819719 100,8499,Brand New,30,False,20
Nike Zoom Freak 2 Taxi Black Metallic Silver Yellow Grey CK5424-006 Men's 12,500,Brand New,0,True,
Nike Air Force 1 '07 Shoes White Team Orange DC2911-101 Men's Multi Size NEW,2340,Brand New,0,False,0
Nike Kyrie Men's Sz 11.5 Oreo Kyrie Irving Sneaker Shoes BQ4630-100 White Black,763,Brand New,0,True,0
Nike Air Max 95 Men's Size 11 Shoes Sneakers Red Green Christmas! NEW DS🔥,7999,Brand New,299,False,
Air Jordan 1 Mid Racer Blue White Black Retro 554724-140,4995,Brand New,0,False,0
Air Jordan 9 Retro Low 'Snakeskin' 832822 001 Black/White-Gym Red Men's Size 10,1999,Pre-Owned,0,True,
🔥EXCELLENT CONDITION Nike Air Safari SE Yellow/Green sneakers Men’s Size 12.5,400,Pre-Owned,0,False,
Nike Air Force 1 Low 07 Men's Basketball Shoes Black 315122-001 Sz 9.5 AF1      ,995,Pre-Owned,720,False,
Nike Air Force 1 '07 Low Top Leather Triple White Sneakers 315122-111 Mens Sz 9,800,Pre-Owned,0,True,
Nike Kyrie Flytrap 2 “Hyper Pink” AO4436-005 Size 10.5 Mens Basketball Shoes,500,Pre-Owned,97,False,
Nike High Dunk Woven 555030-002 Mens 11 High Top Sneakers Black White Checker,999,Pre-Owned,0,False,
Nike Zoom 2000 Men’s Size 9.5 Red/White,500,Pre-Owned,795,False,
Nike Air More Uptempo 96- Mens- Size 10- White- [921948-100]- Basketball Shoes,0,Pre-Owned,0,False,
Nike Air Force 1 '07 Shoes Black White DC2911-002 Men's Multi Sizes NEW,2990,Brand New,0,False,0
Nike Air Force 1 '07 Shoes Triple Black CW2288-001 Men's Multi Size NEW,1990,Brand New,0,False,0
NIB MEN NIKE CW7121 002 REACT MILER 2 GREY/VOLT RUNNING SHOES SNEAKERS $130,995,Brand New,300,False,
Nike Kyrie 6 USA Red White Blue Kyrie Irving Basketball Shoes BQ4630-102 Size 10,0,Brand New,0,False,0
Nike Air Jordan 1 Mid Brush Stroke Paint DA8005-100 Men's & GS Sizes,11997,Brand New,0,False,0
Nike React Element 55 Running Shoes Black White BQ6166-003 Men's NEW ,0,Brand New,0,True,0
Nike Ebernon Low Shoes Triple Black AQ1775-003 Men's NEW,299,Brand New,0,True,
Nike Air Jordan 1 Retro Mid Game Royal Blue White Black 554724/554725-140 Men GS,5997,Brand New,0,False,0
Nike Dunk High Retro Game Royal Size 8 Preowned Og All DD1399-102 Kentucky,3500,Pre-Owned,435,False,
Size 10- Nike Quest 3 Black White Red Men’s Running Shoes,600,Pre-Owned,595,False,
"Nike Air Force 1 Low Triple White ‘07 BRAND NEW, MEN AND WOMEN SIZES.",999,Brand New,699,True,11
Nike Air Force 1 Low Magnet  Mens Sz 8.5  Sneakers Shoes 488298-166,99,Pre-Owned,70,False,
Nike Renew Retaliation TR 2 Training Shoes Black White CK5074-001 Men's NEW,299,Brand New,0,True,
Nike Air Max 2017 Triple Black Shoes Flyknit 849559-004 Men’s Size 9,6000,Brand New,0,False,0
Mens Nike Shox TL  (Size 8),0,New (Other),0,False,
Nike DBreak-Type Shoes Summit White Black CJ1156-100 Men's Multi Size NEW,0,Brand New,0,False,0
Nike Air Force 1 '07 Shoes White Black CT2302-100 Men's Multi Size NEW,1990,Brand New,595,False,0
Nike Air Force 1 '07 Low  ALL SIZES Triple White Men's CW2288-111 New White,995,Brand New,0,False,0
Nike Air Jordan 1 Mid SE GS Paint Drip White Pink DD1666-100,4500,Brand New,0,False,0
Used Nike Air Force 1 Black White Leather size 9,0,Pre-Owned,50,False,
Nike Joyride Dual Run Black Punch Men's Running Sneakers,499,Brand New,0,True,0
Nike Kyrie Flytrap 4 Men's 11.5 Black White CT1972-001 Basketball Shoes Sneakers,500,Brand New,795,False,
Size 8.5 - Nike Air Force 1 Low Experimental Postal Service,200,Brand New,0,False,
Size 9.5 - Nike Air Max Plus,500,New (Other),115,False,
Pre Owned Nike CT2552-800 SB Strangelove Sneakers SZ 12 Dirty Wear No Reserve,99,Pre-Owned,30,False,
Nike Manoadome Mens Boots Triple Black Hiking Trail Work Shoes 844358-003 NEW ,0,Brand New,0,False,0
Nike Air Vapormax Flyknit 2020 Summit White Men's Size 11,999,Pre-Owned,795,False,
Nike Air Mavin Low 2 Men's Size 10 Basketball Shoes White/Black 830367-101,500,Pre-Owned,201,False,
Nike Epic React Flyknit 2 Oreo Running Shoes BQ8928-101 Black White Mens 10.5,0,New (Other),200,False,
Nike Air Max Plus Shoes Black University Red CU4864-001 Men's Multi Size NEW,6490,Brand New,0,False,0
Nike Air Jordan 5 Retro Moonlight Black White Oreo 2021 CT4838-011,3000,Brand New,0,False,0
Nike ID - Custom Air Max 1 - Mens Size 10.5 - NEW,5000,Brand New,135,False,
NIKE MENS ZOOM GRAVITY RUNNING SHOES #BQ3202100,999,Brand New,80,False,
Nike Air Jordan 1 Mid Hemp Tan Gum Beige White 554724-271 Men's Sizes NEW,14995,Brand New,0,False,0
Nike Air Force 1 Crater White Orange Green DH2521-100 Men's Shoes Multi Size NEW,2340,Brand New,0,False,0
,,,,False,
Nike Free Metcon AH8141-003 Mens Size 6.5 Black Sneakers Running Athletic Shoes,999,Pre-Owned,0,True,
Size 11 - Nike Sf Air Force 1 Mid Obsidian 2018! Excellent Condition!,0,Pre-Owned,70,False,
Vintage Nike Air Jordan 12 Flint 2003 Size 10,2000,Pre-Owned,0,False,
Nike DEFY ALL DAY Mens All Black DM7564-002 Extra Wide Width Sneakers Shoes,495,Brand New,0,False,0
Nike TANJUN Men's Midnight Navy White 812654-414 Athletic Mesh Running Sneakers,495,Brand New,0,False,0
"Nike Air Force 1 '07 LV8 3 Shoes ""Peace & Love"" White Black DM8148-100 Men's NEW",4990,Brand New,0,False,0
Nike Air Force 1 '07 Low Triple White Men's SIZE 8 New CW2288-111 Damaged Box,500,Brand New,0,False,
Nike Air Jordan 1 MID “Purple Aqua” (554724-500) SIZE 11 Men’s,4995,Brand New,0,False,0
New NIKE Challenger Retro Men's Athletic Sneakers Casual Shoes yellow all sizes,999,Brand New,199,False,0
NIKE AIR MAX ALPHA TRAINER 2 MODEL # AT1237 003 MENS US SZ 9.5 MSRP $ 85 ,998,Brand New,99,False,
Nike Zoom Hyperfuse Sneakers Mens Gray/Green Low Top Size US 12,750,Pre-Owned,15,False,
NIKE LEGEND REACT 2 RUNNING # AT1368 402 MENS US SZ 10 MSRP $100,998,Brand New,99,True,
"NIKE REACT INFINITY RUN FLYKNIT <CD4371 - 002>,Men's Running Shoes,New with Box",499,Brand New,575,False,0
Nike Free Run Trail Running Shoes Neutral Grey White CW5814-002 Men's NEW,1490,Brand New,0,False,0
Nike Air Max Torch 3 Running Shoes Black White 319116-011 Men's Size,0,Brand New,0,False,
Nike Air Force 1 Premium Low Eddie Cruz sz 8 100% Authentic,1999,Pre-Owned,0,False,
Nike Mens Air Max 97 312834-007 Gray Running Shoes Sneakers Size 12,799,Pre-Owned,0,True,
Nike Giannis Immortality EP Force Field Super Smoothie Men Basketball DH4528-500,2999,Brand New,0,False,0
Nike Air Jordan 4 Retro Tech White Oreo 2021 CT8527-100 Men’s/GS/PS Sizes,1997,Brand New,0,False,0
nike air trainer 1,500,Pre-Owned,115,False,
Nike CORTEZ BASIC LEATHER Mens White Varsity Red 819719-103 Low Sneakers Shoes,495,Brand New,0,False,0
Nike Blazer Low '77 VNTG Shoes White Black Sail DA6364-101 Men's Multi Size NEW,0,Brand New,0,False,0
Nike Air Force 1 '07 Shoes White Black CT2302-100 Men's Multi Size NEW,1990,Brand New,595,False,0
Nike Air Jordan 1 Retro High A Star Is Born Size 12 [555088-015],4000,Pre-Owned,,False,
NIKE REACT 270 ENG 10.5 90 95 97 AIR MAX PLUS TUNED,500,Pre-Owned,500,False,
Mens nike air force 1 size 10,0,Pre-Owned,625,False,
Nike Air Force 1 Low '07 LV8 'Peace and Unity' Men's Shoes DM9051-001 B-GRADE,2499,New (Other),0,True,0
"Nike Air Jordan 1 Low SE Shoes ""Denim"" Blue Hemp DH1259-400 Men's & GS NEW",12990,Brand New,0,False,0
"Nike X Sacai x Undercover  LD Waffle ""Bright Citron"" | Size 9 - 12 | DJ4877-001 ",999,Brand New,0,False,0
Nike Mens Zoom KD 11 Basketball Shoe Navy Size 12M US ,1996,Brand New,95,True,0
Nike Shoes Mens 16 Air Zoom BB NXT TB Promo Basketball Sneakers White CK5879 101,999,New (Other),0,False,
Nike Kobe 11 Draft Day Men’s Size 10.5,999,Pre-Owned,795,False,
"Nike Air Max 95 ""Kim Jones"" Shoes Black Orange Gray DD1871-001 Men's NEW",7490,Brand New,0,False,0
nike air jordan 1 retro court purple.  Highs And Lows.,2000,Pre-Owned,835,False,
Nike Air Jordan 1 Mid Purple Aqua 554724-500 / 554725-500 Men's/GS/PS Sizes,12499,Brand New,0,False,0
